"TimeStep","Time","CO","CO2","Cell Type","H2O","N2","O2","T","Ts","U:0","U:1","U:2","Ychar","Ywood","gas","ngas","p","porosityF","rho"
166,0.835,0.012359,0.0084096,,0.014863,0.74923,0.19801,403.98,401.37,9.6105e-05,-0.00035574,-5.7295e-27,1.9251e-09,1,0.0014012,0.015724,1.0051e+05,0.875,0.84391
166,0.835,0.013204,0.0089503,,0.015848,0.74663,0.19717,406.23,402.15,9.9744e-05,-0.00035189,-7.4481e-27,2.005e-09,1,0.0014728,0.016725,1.0051e+05,0.875,0.83818
166,0.835,0.014141,0.0095486,,0.016941,0.74374,0.19624,409.55,403.3,0.00010358,-0.00034639,5.5778e-27,2.1318e-09,1,0.0015516,0.017833,1.0051e+05,0.875,0.83021
166,0.835,0.015184,0.010213,,0.018155,0.74054,0.19521,414.46,405,0.00010743,-0.00033851,-7.3776e-27,2.3382e-09,1,0.0016388,0.019064,1.0051e+05,0.875,0.81912
166,0.835,0.016347,0.010953,,0.019509,0.73697,0.19405,421.68,407.5,0.00011093,-0.00032736,8.5995e-27,2.6875e-09,1,0.0017356,0.020437,1.0051e+05,0.875,0.8037
166,0.835,0.017646,0.011779,,0.021021,0.73298,0.19276,432.29,411.21,0.00011332,-0.00031184,5.0727e-27,3.3202e-09,1,0.0018437,0.021969,1.0051e+05,0.875,0.78247
166,0.835,0.019096,0.0127,,0.022709,0.72853,0.19133,447.79,416.88,0.00011337,-0.00029085,9.5777e-27,4.6158e-09,1,0.0019646,0.023679,1.0051e+05,0.875,0.75377
166,0.835,0.020713,0.013727,,0.024589,0.72356,0.18972,470.22,425.92,0.00010914,-0.00026366,6.3863e-27,7.9645e-09,1,0.0020996,0.025586,1.0051e+05,0.875,0.7161
166,0.835,0.022509,0.014867,,0.026679,0.71804,0.18795,502.29,441.17,9.7705e-05,-0.00023046,1.7366e-27,2.135e-08,1,0.0022501,0.027705,1.0051e+05,0.875,0.66862
166,0.835,0.024497,0.016128,,0.028993,0.71193,0.18598,547.35,467.93,7.6459e-05,-0.00019274,-2.2136e-27,1.3449e-07,1,0.002417,0.030052,1.0051e+05,0.875,0.61179
166,0.835,0.026693,0.017519,,0.031546,0.70519,0.18381,609.73,515.32,3.6364e-05,-0.00015336,-3.059e-27,3.0998e-06,1,0.0026008,0.032642,1.0051e+05,0.875,0.54743
166,0.835,0.029112,0.019046,,0.034354,0.69779,0.18141,695.92,598.5,-2.195e-06,-0.0001131,-2.7416e-27,0.00032016,0.99968,0.0028004,0.035485,1.0051e+05,0.8751,0.47795
166,0.835,0.031604,0.020594,,0.037226,0.69029,0.17893,819.1,860.63,-5.4525e-05,-9.2859e-05,1.123e-27,1,4.3578e-06,0.0029887,0.038361,1.0051e+05,0.96517,0.40463
166,0.835,0.034205,0.022245,,0.040252,0.6823,0.17636,849.08,881.2,-0.00010732,-0.00011307,5.4472e-27,1,9.2321e-10,0.0032057,0.04143,1.0051e+05,0.96518,0.38888
166,0.835,0.036787,0.023918,,0.043284,0.67422,0.17381,858.57,882.58,-0.00011916,-0.00013585,2.3604e-27,1,5.1638e-10,0.0034414,0.044538,1.0051e+05,0.96518,0.38313
166,0.835,0.039217,0.025514,,0.046155,0.66652,0.17142,862.34,883.04,-0.00010829,-0.00015063,4.399e-28,1,4.4065e-10,0.0036749,0.047503,1.0051e+05,0.96518,0.38009
166,0.835,0.041441,0.02699,,0.048794,0.65941,0.16923,864.15,883.25,-8.7637e-05,-0.00015824,-1.7584e-27,1,4.1204e-10,0.0038951,0.050239,1.0051e+05,0.96518,0.37805
166,0.835,0.043459,0.02834,,0.051195,0.65293,0.16724,865.15,883.35,-6.5388e-05,-0.00016156,-1.3359e-27,1,3.9842e-10,0.0040987,0.052734,1.0051e+05,0.96518,0.37648
166,0.835,0.04529,0.029574,,0.053379,0.64702,0.16544,865.76,883.41,-4.5142e-05,-0.00016272,1.0439e-28,1,3.9066e-10,0.0042864,0.05501,1.0051e+05,0.96518,0.3752
166,0.835,0.046959,0.030707,,0.055378,0.64161,0.16379,866.15,883.44,-2.809e-05,-0.00016293,1.2529e-27,1,3.8594e-10,0.0044604,0.057095,1.0051e+05,0.96518,0.3741
166,0.835,0.048491,0.031756,,0.057217,0.63661,0.16228,866.42,883.47,-1.4305e-05,-0.00016278,-2.6471e-28,1,3.8256e-10,0.0046226,0.05902,1.0051e+05,0.96518,0.37313
166,0.835,0.049908,0.032733,,0.058923,0.63197,0.16088,866.61,883.49,-3.4507e-06,-0.00016251,-1.5592e-28,1,3.7998e-10,0.0047752,0.060809,1.0051e+05,0.96518,0.37226
166,0.835,0.051227,0.033651,,0.060517,0.62762,0.15958,866.76,883.5,4.9183e-06,-0.00016225,0,1,3.7832e-10,0.0049199,0.062484,1.0051e+05,0.96518,0.37146
166,0.835,0.052464,0.034518,,0.062017,0.62353,0.15835,866.87,883.51,1.1235e-05,-0.00016204,-1.4516e-28,1,3.7664e-10,0.0050581,0.064064,1.0051e+05,0.96518,0.37073
166,0.835,0.053632,0.035344,,0.063437,0.61963,0.1572,866.97,883.52,1.5878e-05,-0.00016188,-2.1643e-28,1,3.7524e-10,0.0051911,0.065565,1.0051e+05,0.96518,0.37004
166,0.835,0.054741,0.036135,,0.064791,0.61591,0.1561,867.04,883.53,1.9167e-05,-0.00016178,-3.0886e-28,1,3.7406e-10,0.0053201,0.067,1.0051e+05,0.96518,0.36939
166,0.835,0.055801,0.036898,,0.06609,0.61234,0.15505,867.11,883.54,2.1363e-05,-0.00016173,3.2426e-28,1,3.731e-10,0.0054458,0.068381,1.0051e+05,0.96518,0.36877
166,0.835,0.056821,0.037637,,0.067344,0.60887,0.15404,867.17,883.55,2.2673e-05,-0.00016172,0,1,3.7218e-10,0.0055692,0.069717,1.0051e+05,0.96518,0.36817
166,0.835,0.057807,0.038358,,0.068561,0.6055,0.15306,867.22,883.56,2.3275e-05,-0.00016176,-5.3745e-28,1,3.7136e-10,0.005691,0.071018,1.0051e+05,0.96518,0.36759
166,0.835,0.058766,0.039065,,0.069747,0.60221,0.15211,867.27,883.56,2.3312e-05,-0.00016182,-3.5926e-28,1,3.7051e-10,0.0058117,0.072291,1.0051e+05,0.96518,0.36703
166,0.835,0.059702,0.039761,,0.070911,0.59897,0.15118,867.32,883.57,2.2895e-05,-0.00016191,3.6222e-28,1,3.6986e-10,0.005932,0.073543,1.0051e+05,0.96518,0.36649
166,0.835,0.060621,0.040448,,0.072056,0.59577,0.15027,867.36,883.58,2.2117e-05,-0.00016202,0,1,3.691e-10,0.0060522,0.074779,1.0051e+05,0.96518,0.36595
166,0.835,0.061527,0.041131,,0.073189,0.5926,0.14937,867.41,883.58,2.1054e-05,-0.00016216,3.314e-28,1,3.6843e-10,0.0061729,0.076004,1.0051e+05,0.96518,0.36542
166,0.835,0.062423,0.041811,,0.074313,0.58945,0.14849,867.45,883.59,1.9774e-05,-0.0001623,2.11e-28,1,3.6779e-10,0.0062944,0.077224,1.0051e+05,0.96518,0.36489
166,0.835,0.063313,0.042491,,0.075432,0.5863,0.14761,867.49,883.59,1.8328e-05,-0.00016247,-2.8391e-28,1,3.6705e-10,0.0064171,0.078442,1.0051e+05,0.96518,0.36437
166,0.835,0.0642,0.043172,,0.076551,0.58314,0.14673,867.52,883.6,1.6764e-05,-0.00016264,0,1,3.6662e-10,0.0065412,0.079661,1.0051e+05,0.96518,0.36385
166,0.835,0.065085,0.043856,,0.077671,0.57998,0.14586,867.56,883.61,1.5113e-05,-0.00016282,-2.2712e-28,1,3.6603e-10,0.006667,0.080886,1.0051e+05,0.96518,0.36333
166,0.835,0.065972,0.044544,,0.078795,0.5768,0.14498,867.6,883.61,1.3408e-05,-0.00016301,-4.9192e-28,1,3.653e-10,0.0067947,0.082118,1.0051e+05,0.96518,0.36281
166,0.835,0.066863,0.045239,,0.079927,0.57359,0.1441,867.64,883.62,1.1673e-05,-0.0001632,1.6562e-28,1,3.6494e-10,0.0069246,0.083361,1.0051e+05,0.96518,0.36228
166,0.835,0.067758,0.04594,,0.081067,0.57035,0.14322,867.67,883.62,9.9297e-06,-0.0001634,-2.6415e-28,1,3.6439e-10,0.0070567,0.084615,1.0051e+05,0.96518,0.36176
166,0.835,0.06866,0.04665,,0.082217,0.56707,0.14233,867.71,883.63,8.2091e-06,-0.00016361,-1.7042e-28,1,3.6378e-10,0.0071913,0.085883,1.0051e+05,0.96518,0.36123
166,0.835,0.06957,0.047368,,0.083379,0.56376,0.14143,867.74,883.64,6.5321e-06,-0.00016382,2.8328e-28,1,3.633e-10,0.0073283,0.087167,1.0051e+05,0.96518,0.36069
